issue_id,result_date,results,sale_amount_R9,prize_count_R9,prize_R9,sale_amount_14,prize_count_14_1,prize_14_1,prize_count_14_2,prize_14_2
17095,2017/7/13,0 3 3 3 1 3 0 3 1 0 3 0 1 0,8733178,8969,623,27225018,120,151807,3114,1678
17096,2017/7/14,3 0 0 0 3 0 1 1 3 3 0 1 0 1,12489544,338,23648,12743592,0,0,11,222433
17097,2017/7/17,3 0 3 1 3 3 3 3 0 1 3 1 0 3,11451976,380,19287,15023248,0,0,49,58866
17098,2017/7/20,1 3 0 0 1 0 1 0 3 3 1 3 3 0,9720678,434,14334,42472992,3,5000000,188,43376
17099,2017/7/21,3 0 3 3 3 3 3 3 3 1 3 3 0 0,13261536,11681,726,35255924,103,313224,3818,1772
17100,2017/7/24,0 3 1 3 1 3 1 3 0 1 0 3 3 0,10664802,642,10631,11999394,2,2687864,38,60628
17101,2017/7/27,1 3 0 1 3 0 3 3 1 3 3 1 1 1,12767866,788,10369,16830192,2,3769963,84,38469
17102,2017/7/28,1 1 3 3 3 0 1 3 3 0 3 0 3 3,10460000,13677,489,25954562,77,151008,12190,408
17103,2017/7/30,3 3 0 3 1 3 3 0 0 3 3 0 0 0,11318026,1759,4117,12384160,19,292005,444,5355
17104,2017/7/31,0 1 1 3 3 0 3 0 1 0 1 0 * 1,10086246,61,105822,12057624,0,0,2,1157531
17105,2017/8/3,3 3 3 3 3 3 0 0 3 3 1 0 1 1,13033824,3323,2510,20451206,18,809108,499,7869
17106,2017/8/4,0 3 1 0 0 0 1 0 1 3 3 1 3 3,13749612,21,419035,17619166,0,0,0,0
17107,2017/8/5,1 3 3 1 3 3 3 1 1 3 0 0 1 0,13272522,876,9696,16115226,2,5000000,90,34379
17108,2017/8/6,0 3 1 3 1 3 3 1 0 3 3 3 1 3,13125916,9931,845,17220520,75,216142,1585,2086
17109,2017/8/7,0 0 1 3 1 0 3 0 3 3 0 0 1 1,11446286,428,17115,10326482,3,1542087,58,34184
17110,2017/8/10,0 1 0 1 3 1 0 0 3 3 1 3 1 3,10904132,1396,4999,11647848,8,652279,184,12154
17111,2017/8/12,3 3 1 0 0 0 3 1 0 1 0 1 0 3,15673466,1211,8283,13265298,5,1188570,191,13334
17112,2017/8/13,0 0 3 1 3 0 0 3 3 0 0 0 3 0,16893340,300,36039,17157598,2,3843301,96,34315
17113,2017/8/14,3 3 0 0 0 0 0 1 1 1 3 3 3 1,16097796,2809,3667,15213334,5,1363114,148,19736
17114,2017/8/17,3 3 1 0 0 3 3 0 3 3 1 3 0 1,14955172,6448,1484,14716224,34,193907,1193,2368
17115,2017/8/18,1 3 3 0 3 0 0 0 1 0 3 1 3 1,16182134,898,11532,19859422,4,2224255,109,34981
17116,2017/8/19,3 1 3 3 3 0 3 0 3 1 3 0 3 3,16351324,37939,275,13153650,381,15466,7122,354
17117,2017/8/20,0 0 3 3 3 3 0 3 3 3 0 3 1 1,17087176,937,11671,17463088,6,1303910,118,28414
